Company,Job_Openings,Job_Contents,Salaey,Address,Others,Welfare,Url,Linux,Shell,Python,MySQL,MS SQL,PostgreSQL,Oracle,ETL,Git,Github,hadoop,Azure,AWS,Hive,Tableau,Power BI​,Data Modeling,Google Analytics,Matlab,R,Go,Java,JavaScript,jQuery,Node.js,CSS,HTML,PHP,C,C++,C#
資寶科技股份有限公司,CV資料科學家/CV Data Scientist,"* Role Description *
We are looking for data scientists who are interested in building a document intelligence service for professional workers with our growing team worldwide. The service can automatically review professional documents, such as contracts and financial documents, and make revision suggestions to improve the work efficiency of professionals. 

This is a leadership role. You have to lead data engineers and collaborate with other teams. This role requests creation, innovation, and originality.

* Responsibilities *
1. Research and evaluate pioneering machine learning and statistical models
2. Use machine learning and analytical techniques to build prediction models for document intelligence solutions.
3. Design, develop, and test advanced models for predictive user behaviors
4. Design efficient, scalable, automated processes for large scale data analyses, model development, model validation, and model implementation
5. Cooperate with engineering teams to provide solutions with machine learning techniques
6. Cooperate with project managers to create new features with the benefits of machine learning techniques

* Minimum qualifications *
1. Master degree in Computer Science, related technical field, or equivalent practical experience
2. At least five years of relevant experience in CV (computer vision)
3. Experience with one general-purpose programming language (e.g., Python, Java, C/C++)
4. Experience in algorithms and libraries of CV 
5. Excellent documentation, communication, organizational, and analytical skills
6. Experience in data processing of textual and numerical data
7. Experience with Linux/Unix environments and containers
8. Self-motivated and responsive to multiple challenges in a fast-moving team environment

* Preferred qualifications *
1. Advanced degree in engineering or technical/scientific field of study
2. Familiar with object detection and layout analysis CV models and algorithms
3. Experience building large scale distributed data analysis systems or applications
4. Excellent documentation, communication, organizational, and analytical skills
5. Experience in MLOps","年薪1,600,000~2,500,000元",台中市北區文心路四段208之1號7樓之2,,,https://www.104.com.tw/job/71fze?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,Data Scientist 資料科學家,"Responsibilities :

- Developing deep learning solutions and performance evaluation frameworks according to business project at production-level
- Partner with engineers and product managers to build the right application for business need
- Researching on latest DL/ML algorithms or frameworks to find opportunities for growth and efficiency for the data science team
- Design and analyze experiments; communicate results and launch decisions


Qualifications:

- M.S. or Ph.D. in Computer Science, Engineering, Statistics, Operations Research, Mathematics, or other quantitative fields are prefered
- Solid understanding on deep learning & machine learning
- Familiar with Python

Experienced in cutting edge deep learning models and frameworks PyTorch, Tensorflow etc.
- Willingness to collaborate and communicate with others to solve a problem
- Experience of working in a startup is a plus


Nice to have:

- Familiar with CUDA programming, and distributed computing .
- Experience in one of the following topics 3D DL (Point Cloud / Voxels / RGB-D etc.), 3D image geometry, 6D pose estimation.",待遇面議,台北市大安區忠孝東路三段136號9樓之5,"1. Please prepare the certificates of your highest education record for our face-to-face interview if you have graduated within 5 years.
2. Know Deep Learning in Computer Vision is a plus.","Official employees are eligible for 10-day annual leaves within the first year.
Yearly health examination subsidy for all employees.
Birthday present. Food & Beverage. Year-end dinner.
到職即享第一年的10天年假
共同上班時間: 10:30~17:30
健康檢查。零食飲料。生日禮品。尾牙聚餐。不定期員工教育訓練/向心力活動",https://www.104.com.tw/job/70jci?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
聚典資訊股份有限公司,資料科學家 Junior Data Scientist,"Basic Requirements:
- 0 ~ 3 years of working experience in data science or related area
- Proficient in Python, especially Pandas, NumPy and Scikit-learn packages
- Hands-on experience in data cleaning, feature engineering, model building, results interpretation of real-world data
- Capable of dealing with exploratory works
 
Preferred Qualifications:
- Educational background in business, marketing, statistics, computer science, information management or related area
- Familiar with SQL
- Familiar with Power BI
- Experience in building a database, either on-site or in the cloud
- Experience in designing dashboards
- Experience in running Scrum","月薪35,000元以上",台北市南港區園區街3-2號9樓0912室,,"※【典藏福利】
◆基本三保勞保
勞保，健保，勞退三合㇐
◆薪資及獎金
依照公司營運狀況與個人績效獲取額外薪資紅利
◆活力補給
輕鬆小點心,時食都開心
◆多方位補助
進修補助/差旅補助/專業證照/部門聚餐/入伍禮金／結婚禮金

 ",https://www.104.com.tw/job/77kpp?jobsource=jolist_c_relevance,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
台灣大哥大股份有限公司,I176 Data Scientist 資料科學家,"1. 支援營運/行銷等資料之分析與策略規劃
2. 採用AI技術建置輔助自動化營運/行銷活動之模型
3. 建立用戶persona模型",待遇面議,台北市信義區,"1. 大學畢，3年資料分析經驗。
2. 對資料分析有熱情，具備以多種視角觀看資料之能力。
3. 對資料生成背後的機制(mechanism)有高度好奇心，並具備探索與解答能力。
4. 精熟Python或R之程式，對程式效能與結構有高度要求者。
5. 能在沒有精確ground truth的資料環境下結合各種演算法產製實用之模型。","**台灣大哥大列入「公司治理評鑑前5%之績優公司」**
**台灣大哥大榮獲104人力銀行新鮮人「魅力雇主」電信服務業榜首**

員工是台灣大哥大最寶貴的資產，我們落實以績效為依歸的薪酬獎勵措施(pay for performance)，提供極具市場競爭力的薪資、年終獎金等激勵性獎酬，並提供完善的福利、性別平等的工作機會和教育訓練制度，同時也鼓勵員工自我實現，滿足自我成長。

【薪資與福利】
薪資制度： 
1.	以績效為依歸的薪酬獎勵措施，依據績效表現發放年終獎金等激勵性獎酬
2.	每年參與薪資調查，瞭解業界情形，讓薪資具有市場競爭力

福利措施：公司妥善規劃及提供員工各項福利措施
1.	除依法應提供之勞健保、勞退外，另有員工及眷屬團體保險(公司全額補助)
2.	優於法令規定之病假、產假、喪假等
3.	婚喪喜慶補助：生日禮金、結婚禮金、生育禮金、喪殯慰問
4.	傷病急難救助：住院慰問、急難救助
5.	三節禮券、托兒補助
6.	自選式福利方案：電子禮券、國內/外旅遊、員工進修、子女教育、團險自費加保等補助
7.	社團活動、家庭日及年終尾牙晚會
8.	集團員工自費保險計劃(壽險及產險)及房屋/信用貸款等優惠措施
9.	員工持股信託方案，由員工及公司定額相對提撥購買公司股票
10.	員工每月定額通話費補助、員購優惠方案
11.	定期員工健康檢查、員眷健檢優惠方案
12.	特約商店、渡假飯店、運動中心、遊樂園、旅行社等簽約優惠
13.	免費紓壓肩頸按摩服務
14.	資深員工獎勵

【學習與發展】 
我們有完善的教育訓練及升遷制度，包括：
1.	新進同仁教育訓練  
2.	個人職能訓練、管理職能訓練、電腦/電信專業技能訓練
3.	國內外進修機會(獎助學金補助) 
4.	每年定額員工個人進修補助

我們實施： 
1.	人性化出勤管理
2.	優於勞基法之休假制度，包括每年六日不扣薪普通傷病假

您心動了嗎！歡迎您加入我們！ 
請詳見 https://hrweb.taiwanmobile.com/TWMHRMS/Forms/JobQry.aspx",https://www.104.com.tw/job/64n73?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,Data Scientist 資料科學家,"Responsibilities :

- Design experiments to optimize product performance and co-work with engineers    and pm to build the right application.
- Analyze data and communicate statistical results to pm and our clients
- Training and fine tuning deep learning models according to business need.
- Studying and researching on latest AI application technology methods and put into practice.

 

Qualifications:

- Solid knowledge of machine learning and statistics, familiar with deep learning 
- Ability to deal with both structured and unstructured data
- Experienced in data analyzing via Python or R, especially with visualization tools
- Basic understanding of cutting edge IT/CT/AI technology such like container, deep learning, nfv is a plus
- Be adaptive and be willing to learn new things is the most important of all
- Have worked in a Startup is a huge plus",待遇面議,台北市大安區忠孝東路三段136號9樓之5,"1. Please prepare the certificates of your highest education record for our face-to-face interview if you have graduated within 5 years.
2. Know Deep Learning in Computer Vision is a plus.","Official employees are eligible for 10-day annual leaves within the first year.
Yearly health examination subsidy for all employees.
Birthday present. Food & Beverage. Year-end dinner.
到職即享第一年的10天年假
共同上班時間: 10:30~17:30
健康檢查。零食飲料。生日禮品。尾牙聚餐。不定期員工教育訓練/向心力活動",https://www.104.com.tw/job/76hgd?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
股感資訊股份有限公司,【股感網站】Data Scientist 資料科學家,"股感生活金融科技是一個金融新創公司，以「普惠金融」為目標，以股感網站打造互聯網金融場域。透過「多元化數位內容」於社群上讓讀者產生興趣，股感站內提供豐富商業資訊及投資知識，以及客製化的「學習系統」建置，讓用戶在投資旅程更有方向感。下個階段、我們希望在接近交易的過程中透過「Fintech互動體驗」對應到商品選擇、比較，輔助投資者進行交易決策，讓用戶享有一站式服務體驗。

我們正在快速發展的道路上，需要這樣的你加入，一起打拼！
・對數位金融領域有無比熱情，擁有普惠金融的使命感。
・具新創思維及高度彈性，能快速學習成長並接受各種挑戰。
・熱愛商業和策略，能夠識別市場機會、潛在需求。
・懂得換位思考，善於溝通並與各部門協同工作。

<職務說明及需求>
(1) 分析文本間的相關性。
(2) 以使用者資料及行為進行分群及建模。
(3) 與前後端工程師進行協作，完成實作及成效評估。
(4) 將資料透過交換格式供串接使用。
(4) 熟悉Python、MongoDB
(6) 協同過濾及內容推薦等經驗
",待遇面議,台北市松山區民生東路三段 135 號 3 樓,"<加分條件>
(1)相關工作經驗，或是論文與此相關
(2)主動意識、良好邏輯及橫向溝通能力、自我驅動及主動尋求問題解法
(3)曾使用過Swagger","◆ 分紅/配股
	1.員工配股
	2.員工認股

◆ 請 / 休假制度
	1.週休二日
	2.特休/年假

◆ 補助類
	1.員工進修補助
        2.員工購書補助

◆ 其他
       1.9:00-10:00彈性上班
       2.零食",https://www.104.com.tw/job/6low3?jobsource=jolist_c_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛美金科技股份有限公司,資料科學家 Data Scientist,"與 AImazing 共同成長吧!:
* 擴展以及自我挑戰你的技術能力
* 近距離從事核心產品
* 一同目睹,經歷產品快速擴張到海外 (而不只侷限於台灣)
* 無層次結構（開放式溝通的文化）
* 小團隊，緊密合作
* 團隊平均年齡〜29歲。(活力十足!)

公司影片
2 分鐘了解公司產品: http://bit.ly/CR2minsintro
5 分鐘了解公司文化: http://bit.ly/CREmb5YT
5 分鐘不夠?: http://bit.ly/CRemb9YT

影片Q&A 系列 -
1）招聘工程師時注重的特質： http://bit.ly/CRfaqs3
2）為什麼在台灣設工程團隊以及面對的問題： http://bit.ly/CRfaqs2


需求背景

目前每天有大量收據上傳到伺服器，透過 OCR 將圖片收據轉換為文字，需要提升 OCR 工具辨識的準確性，以減少修正錯誤資料的頻率。另一方面，在將收據文本提取結構化數據 (例如金額、流水號、日期時間、購買品項等) 上，需仰賴大量人力的介入，且各個店家的收據格式也不盡相同。


Responsibilities:

* Use machine learning techniques to enhance receipt image OCR model
* Research, design and develop receipt data extraction model
* Co-operate with backend and data team to drive real-time OCR and receipt data extraction model implementation
* Improve scalability, efficiency and accuracy of models
* Contribute to the full life cycle of machine learning models

","年薪650,000~1,300,000元",台北市大安區建國南路一段 175 巷 27 號 3 樓,"Required Qualifications: 

* Familiar with at least one programming language (eg. Python, R, etc.)
* Experience in machine learning and deep learning
* Experience in NLP, information extraction and text mining
* Experience in image processing


Preferred Qualifications: 

* 2+ years of experience in machine learning, deep learning, information extraction, image processing and OCR
* Experience in successfully deploying algorithms and models to production systems with positive business impact


Other:

* Autonomous
* Teamwork
* Honesty
* Continuous learning
* Self reflection",- 勞保 健保 勞退金,https://www.104.com.tw/job/794w0?jobsource=jolist_c_relevance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
精藤股份有限公司,資料科學家,"精藤公司為【全家便利商店股份有限公司】之子公司，精藤做為集團資訊整合的中心，不但承擔著集團「系統整合」及「Know-How彙整」的責任，同時也扮演了集團最堅強的技術發展領航者及實踐者。
而支援這團隊成長的背後，除了穩定成長的零售通路資訊發展需求以外，亦包含了精藤20年來不斷精進的程式開發技術以及重視團隊合作的組織文化。
在精藤，除了可以學習各項資訊系統規劃、開發、監控與維護（如：物流管理系統、帳務管理系統、商品管理系統，與情報分析系統......等數以百計的資訊系統，精藤皆自行開發與維護），更有完善的公司治理與開發標準，可做為所有資訊人員執行專案時的後盾。
除此之外，精藤近年來亦不斷追求更多新領域的發展，例如：雲端科技應用、大數據資料分析以及行動裝置管理技術等等，誠摯的歡迎所有對於零售流通有興趣的伙伴一同加入精藤的大家庭。

本公司資料科學家師之職務內容如下：
1. 協助集團發展銷售預測分析模型
2. 協助集團清理、整合資料進行建模
3. 協助集團建置資料倉儲
4. 開發預測模型視覺化報表","年薪600,000~1,200,000元",台北市中山區中山北路二段61號11樓,"1. 需熟悉SQL、Python、R、SPSS工具。
2. 需具備統計分析能力，包括熟悉Multivariable calculus與Linear algebra。
3. 需熟悉Machine Learning，包括KNN、SVM、Clustering、Bayesian Natworks, Ensemble...。
4. 需具備Data Visualization & communication能力。
5. 須具備2年以上資料分析相關工作經驗。","◆獎金/禮品類
1.年終獎金
2.三節獎劵/禮品
◆保險類
1.勞保
2.健保
3.勞工退休金
4.員工團保
◆休閒類
1.國內旅遊
2.國外旅遊
3.部門聚餐
4.慶生會
5.社團活動
6.不定期電影包場
◆制度類
1.伙食費
2.誤餐費
◆請/休假制度
1.週休二日
2.特休/年假
3.陪產假
4.家庭照顧假
5.女性同仁生理假
6.生日假
◆其他
1.定期健康檢查
◆補助類
1.結婚禮金
2.生育津貼
3.社團補助
4.旅遊補助
5.退職金提撥",https://www.104.com.tw/job/70dl6?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新加坡商鈦坦科技股份有限公司台灣分公司,Data Scientist 資料科學家,"What a Data Scientist does in Titansoft

1. Apply statistical and machine learning techniques to build models for user classification, fraud detection and other objectives.
2. Mine, analyze and visualize data from company databases to drive optimization and improve product development, marketing techniques and business strategies.
3. Identify, understand and solve business problems based on the company's overall targets.
4. Coordinate with different feature teams to implement models and design proper performance evaluation metrics.

",待遇面議,台北市南港區台北市南港區園區街3之1號11樓之1（南港軟體園區G棟）,"Experience
1.	Knowledge and experience with application of a variety of machine learning techniques (clustering, decision tree, neural network, etc.).
2.	Knowledge and experience with application of advanced statistical techniques (regression, various statistical tests, etc.).
3.	Real-world ML project experiences.
4.	Fresh graduates are welcome to apply, competition experience is a plus.

Skills
1.	Proficiency in Python (must), SQL or other programming languages.
2.	Proficiency in common ML frameworks, etc., Scikit-learn, Keras, Tensorflow.
3.	Strong problem solving skills. 
4.	Excellent written and verbal communication skills for coordinating across teams and with stakeholders.

Personality Traits / Characteristics
1.	Emphasis on outcomes and improvements in product performance.
2.	Passion to learn and apply new technologies and techniques.
3.	Data driven.
","在鈦坦「人」是最寶貴的資產，我們重視員工的培訓和職涯發展計畫。

-	基本年假 12 天（試用期後即可使用）。 
-	年享有 8 天全薪病假。
-	年薪14 個月（含三節及年終獎金）。
-	彈性上下班時間。
-	活絡筋骨專人按摩。
-	教育訓練（內部&外部）在職進修制度。
-	健康檢查費用補助。
-	生育、婚喪禮金補助。
-	運動津貼補助。
-	電信費用（含購機）補助。
-	員工海外旅遊（美國、日本、泰國、印尼、柬埔寨、越南）。
-	績效獎金（視當年度營運及個人績效而定）。
-      員工介紹獎金（視被介紹者職級而定）。

在鈦坦沒有Boss，但需要自組織的Guts，我們鼓勵同仁互相激發創意，讓組織天天充滿活力，團隊一起捲起袖子，把手弄髒，為世界創造更多顛覆常規的樂趣。我們的工作模式，就事論事，對事不對人，學歷經歷都不重要，有貢獻就有回饋，改變是這世上唯一不變的事物，我們擁抱改變，並隨機應變。",https://www.104.com.tw/job/697oo?jobsource=jolist_c_relevance,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
華翰物產實業股份有限公司,資深資料科學家(Senior Data Scientist),"1. 與領域專家結合資料面將商業問題轉化為可分析的條件以及狀態
2. 進行數據蒐集、清理、保存並確保資料品質無暇
3. 對資料進行分析，以提供市場開發策略建議
4. 對市場進行系統性的宏觀分析並以資料進行相關預測
5. 須與資料工程師共同建立資料流與開發相關API
6. 開發相關介面與儀表板供內部使用者使用
7. 須持續學習並精進相關技術(不只限於工程領域)

1. Collaborate with domain expertise to transform business problem into
analyzable states
2. Scrape, clean, store and ensure the quality and consistency of data
3. Analyze business related data and come up with feasible strategy
4. Analyze the whole market from a macro and micro view and conduct
necessary prediction
5. Collaborate with data engineer to build up reliable data pipeline and API
6. Develop dashboard and friendly interface for internal users
7. Learn and apply the related cutting edge technology if necessary

必備條件:
1. 熟練Python以及資料處理相關技術
2. 熟練機器學習相關套件及理論或時間序列分析理論與技術
3.使用Flask開發的經驗
4. 具備git技術
5. 具備英文溝通能力(要敢開口說)

加分項目:
1. 具備爬蟲能力
2. 具備docker 技術
3. 會撰寫restful API
4. 具備AWS 相關經驗(如:sagemaker,S3)
5. 有個人Side Project/數據競賽經驗/git ，任何可展現經驗與熱忱的作品


Must have:
1. Proficiency in Python and data manipulation skills
2. Familiar with not only machine learning package but also the theory of
common algorithms, time series related algorithm will also be accepted
3.Experience to develop system with Flask
4. Familiar with git
5. Able to communicate in English

Nice to have:
1. Able to scrape data from web
2. Familiar with docker
3. Able to develop restful API
4. Experience in AWS (e.g. sageaker, S3, lambda…etc)
5. Any side project or competition experience is a plus","月薪60,000~85,000元",高雄市新興區青年一路156號,"技能專長：
-良好的溝通能力
-善於分析
-具備強大且快速的跨領域學習能力
-英語方面很熟練

態度 :
-終身學習的覺悟
-誠信、熱情、重視團隊合作
-專業精神和道德行為
-共同成長的雙贏思維

Skills :
-Strong communication skills
-Good analytic skills
-Strong learning ability
-Proficiency in English

Attitudes:
-Life-long learning commitment
-Integrity, enthusiasm, and value teamwork
-Professionalism and ethical behavior
-Growth mindset and think win-win","◆ 勞健保,員工團保
◆ 員工教育訓練
◆ 年終獎金/三節禮品
◆ 員工旅遊
◆ 每月慶生茶會
◆ 下午茶
◆ 營養午餐  
◆ 健康檢查
◆ 漂亮,舒適的辦公環境
◆ 員工休息室 
◆結婚/生育/喪葬禮金
◆團康活動
◆ Labor &health insurance, employee group insurance
◆ Employee training course
◆ Year-end bonus/holiday gift
◆ Company trip
◆ Monthly birthday tea party
◆ Afternoon tea
◆ Lunch box
◆ Health examination
◆ Beautiful and comfortable office
◆ Staff lounge
◆ Marriage/birth/funeral allowance
◆ Recreational activities
",https://www.104.com.tw/job/72vx2?jobsource=jolist_c_relevance,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰金控_國泰金融控股股份有限公司,"資料科學家 Data Scientist-數據科技(數數發中心, DDT)","1. 機器學習、深度學習或統計分析模型的實作開發，包含數據清洗、特徵工程及探索、模型建置與調參
2. 配合數據技術發展目標，研究與開發可落地實用之新興數據技術，並協助提升金控整體數據技術運用能力

(本職務配合公司數據團隊布局策略，若有必要時需至子公司輪調或任務支援)","月薪30,000~90,000元",台北市信義區松仁路7號,"[必要條件]
1. 熟悉 Python
2. 熟悉 SQL statement
3. 熟悉機器學習、深度學習或統計模型
4. 愛好自我學習、探索與分享的態度

[加分條件]
1. 自然語言處理 (NLP)、社群網絡分析 (SNA)、時間序列分析或其他數據分析經驗
2. 具資料視覺化實作經驗與技能
3. 熟悉 Spark, Hadoop & Hive",年終獎金，端午、中秋代金，婚喪禮金，生日禮物，員工保險，子女教育補助費，登山活動，春秋兩季旅遊，年終聚餐補助，國建購屋優惠。,https://www.104.com.tw/job/6emjw?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣資料科學股份有限公司,資料科學家,"期待有想法有衝勁的夥伴能夠加入我們。

(1). 建構數據分析環境，並運用Python分析。
(2). 以機器、深度學習與統計分析等最佳化研究與開發。
(3). 規劃數據模型，進行統計與分析，開發資料視覺化圖表。
(4). 數據研究報告撰寫。
(5). 開發及設計BI分析報表。
(6). 協助專案研發與新技術的導入。
(7). 對學習新技術具有熱情，具備良好的溝通及團隊合作能力。
(8). 其他主管交辦事項。

","月薪38,000~88,000元",台北市內湖區瑞光路335號6樓,"(1). 熟智慧物聯、智慧零售和金融科技產業者佳。
(2). 具備數據視覺化經驗者佳。
(3). 具備資料庫分析經驗者佳。
(4). 精通統計理論相關知識，並有數據分析實際經驗。
(5). 喜歡主動閱讀國內外AI或大數據分析相關的論文、專利或相關新知者佳。
(6.) 對數據資料有敏感度且有熱情。
(7). 熟悉基礎git版本控制。
(8). 能閱讀英文文件加分。
持有經濟部能力鑑定(iPAS)證書者優先面試! BDA

","公司福利制度
1.人性化管理
2.彈性上、下班時間制度
3.明亮的辦公室環境

",https://www.104.com.tw/job/758ll?jobsource=jolist_c_relevance,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萬寶華企業管理顧問股份有限公司,派遣至LINE_Insight planner (data scientist、資料科學家、資料分析師) [115-59],"[Team/Position Description]
Insight planner uses data to answer business questions and solve business problems. Perform analysis, Machine Learning and statistical techniques to derive insights from data. Provide suggestion and action plan for result applications.

[Responsibilities]
* Work closely with service planners, business teams and IT to develop data insight solutions
* Understand and document business users’ report/analysis requirement 
* Standardize data collection and tracking dimensions for different services
* Design and develop KPI report and ad-hoc analysis by accessing raw data, analysis tools and reporting tools
* Leverage Machine Learning/Advanced Analytics approaches to deliver insights and solutions

",待遇面議,台北市內湖區,"[Basic Qualifications]
* 5+ years experience in business intelligence and data analysis
* Familiar with internet technology, Google Analytics and online AD products
* Capable to perform data pre-processing by SQL, develop report by tableau and build Machine Learning model with python
* Experienced in data project management is a plus
* Fast learner for business domain understanding and strong cross-team communication skill
* Fluent English in oral communication and documentation


LINE's Mission:
https://linecorp.com/en/company/mission
",,https://www.104.com.tw/job/6uf4o?jobsource=jolist_c_relevance,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
李長榮化學工業股份有限公司,Data Scientist(資料科學家),"-Insight into company/plant operating and maintenance data, and apply with Data mining, machine learning, NLP…etc. for prediction,  classification, optimization…etc. 
-Work on structured, semi-structured and unstructured data to discover data insights and collaborate with domain expert to deliver business value through these insights.
-Build predictive models with data, test models on results and verify the model in real-world settings (e.g. Equipment Failure Analysis, Forecasting…etc.)
-Business process standardization, big data analysis and reporting dashboard and develop best practices for instrumentation and experimentation and communicate those requirements to relevant units.",待遇面議,高雄市楠梓區研發路,"-Bachelor degree or higher, major in Computer Science, Statistics, Mathematics.
-At Least 2 year experience in Data Mining, Machine Learning, Information Retrieval, Natural Language Processing or related knowledge.   
-Proficiency with data analysis languages: R, Python, Java or Scala.
-Experience in parallel, distributed and cloud computing and data processing.
-Comfortable with data analysis & visualization using analytic tools with the capability of creating, planning, and analyzing.
-Experience in at least one MVC web designing, implementing and maintaining applications is a plus
-Good English Language Capability.","◆ 獎金 / 禮品類
　 1.年終獎金
　 2.端午&中秋獎金+禮金
　 3.生日禮金
◆ 退休儲蓄
◆ 保險類
　員工團保、意外險、壽險、醫療險(含眷屬)
◆ 休閒類
　 1.國內旅遊
　 2.國外旅遊
◆ 制度類
　 1.伙食費
　 2.員工提案獎金
　 3.完整的教育訓練
　 4.順暢的升遷管道
◆ 請 / 休假制度
　 1.週休二日(輪班人員依排班)
　 2.颱風假給薪
　 3.補班日免出勤&給薪
　 ◆ 其他
　 1.健康檢查
◆ 補助類
　 1.員工進修補助
　 2.子女教育獎助學金
　 3.旅遊補助
◆ 約聘與派遣職缺福利制度另訂",https://www.104.com.tw/job/4jao3?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中強光電股份有限公司,研發類-Data Scientist 資料科學家(AIRD),"1.資料標記
2.數據建模
3.深度學習演算法開發
4.撰寫研究報告",待遇面議,新竹市力行路11號,"
","「人才」是中強光電最重視的資產，中強光電秉持與員工利潤共享的理念，歡迎充滿熱情、負責與創新的卓越人才加入這個年輕活潑的舞台，共同開創璀璨的未來。中強光電高度重視員工需求，致力打造優質的工作環境，提供多樣化的福利設計，讓您可享受工作成果並快樂生活。

◎優渥的薪酬，民國88年上櫃至今均維持穩定獲利(利潤與員工共享) 
◆員工營運績效獎金與生產績效獎金(視當年度營運與個人績效而定) 
◆三節獎金(中秋、端午、春節)
◆研發專利獎金
  
◎完善的醫療保健/保險
◆員工定期健康檢查與特殊作業健康檢查，並備有廠區醫護室隨時關心同仁的健康
◆不定期舉辦孕媽咪講座、防癌篩檢、骨質密度與腹部超音波檢查，並提供專業醫療講座與諮詢
◆健全的勞健保險制度與員工免費團體保險
◆派外人員、出差人員之旅平險與意外險

◎便捷的交通設施
◆免費汽、機車員工停車場與孕婦專屬停車位
◆免費員工上下班交通車與廠區接駁車

◎溫馨的各項補助
◆結婚禮金、生育禮金、住院補助與喪葬慰問金
◆生日禮券、外訓補助、語言訓練補助

◆外訓補助、語言訓練補助

◎優質的工作環境
◆暢通的員工溝通管道與員工協助方案(EAP)，提供員工各項諮詢服務(包含醫療、心理、法律、理財等)
◆孕婦專屬哺乳室、精緻員工餐廳、咖啡廳、便利商店與超值咖啡享用
◆週休二日，彈性上下班時間
◆年度員工表揚活動(優良研發人員、資深員工與優秀員工表揚)

◎豐富的休閒生活
◆員工家庭日、歡樂年終晚會、豐富的藝文饗宴、人文系列講座與期刊閱覽室
◆國內、外旅遊與部門聯誼活動、不定期提供免費電影票券與特約商店折扣
◆豐富多元的休閒活動與社團活動、多功能的運動休閒設施",https://www.104.com.tw/job/6avi2?jobsource=jolist_c_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣資料科學股份有限公司,資深資料科學家,"期待有想法有衝勁的夥伴能夠加入我們。

(1). 建構數據分析環境，並運用Python分析。
(2). 負責跨部門溝通與合作專案。
(3). 確認客戶需求，溝通並清楚定義分析問題。
(3). 規劃數據模型，進行統計與分析，開發資料視覺化圖表。
(4). 以機器、深度學習與統計分析等最佳化研究與開發。 
(5). 熟悉資料庫管理，包含備份、還原、優化、權限等。
(6). 數據研究報告撰寫。
(7). 協助專案研發與新技術的導入。
(8). 對學習新技術具有熱情，具備良好的溝通及團隊合作能力。
(9). 熟悉AWS等雲端平台及相關項目。
(10). 其他主管交辦事項。","月薪38,000~88,000元",台北市內湖區瑞光路335號6樓,"(1). 熟智慧物聯、智慧零售和金融科技產業者佳。
(2). 具備數據視覺化經驗者佳。
(3). 具備資料庫分析經驗者佳。
(4). 精通統計理論相關知識，並有數據分析實際經驗。
(5). 喜歡主動閱讀國內外AI或大數據分析相關的論文、專利或相關新知者佳。
(6.) 對數據資料有敏感度且有熱情。
(7). 熟悉基礎git版本控制。
(8). 能閱讀英文文件加分。
持有經濟部能力鑑定(iPAS)證書者優先面試! BDA
","公司福利制度
1.人性化管理
2.彈性上、下班時間制度
3.明亮的辦公室環境

",https://www.104.com.tw/job/75b20?jobsource=jolist_c_relevance,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
